"metric","value"
"N",1e+05
"p_covariates",9
"p_design",10
"intercept_included",1
"heteroscedastic",1
"beta_length",10
"beta_intercept",1
"mean_sigma2",2.17029188647636
"cor_sigma2_ell",0.297029245356721
"cor_sigma_ell",0.270352345387227
"cor_s_abs_sigma2",0.971136818352163
"mean_epsilon",-0.00620341479860034
"var_epsilon",2.15650688669997
"mu_mean",0.992811888857902
"mu_sd",2.08840130253183
"mu_min",-8.40430918625185
"mu_q05",-2.43528004951891
"mu_q25",-0.416517563692649
"mu_median",0.984637866664057
"mu_q75",2.40362243117659
"mu_q95",4.43230199820549
"mu_max",10.1803010629048
"s_mean",-0.00258984370769165
"s_sd",1.04006944050283
"s_min",-4.17593471505486
"s_q05",-1.71357217772886
"s_q25",-0.723297133170748
"s_median",-0.00143692299833664
"s_q75",0.718970453888816
"s_q95",1.71092577404012
"s_max",4.11594581839979
"sigma_mean",1.33855155556248
"sigma_sd",0.61528481643192
"sigma_min",0.500022654698893
"sigma_q05",0.568156420358475
"sigma_q25",0.839451475209924
"sigma_median",1.22110182446187
"sigma_q75",1.72082514090507
"sigma_q95",2.51127533144624
"sigma_max",4.67593471505486
"sigma2_mean",2.17029188647636
"sigma2_sd",2.02929982961915
"sigma2_min",0.250022655212129
"sigma2_q05",0.322801717999812
"sigma2_q25",0.704678779414562
"sigma2_median",1.49108966570448
"sigma2_q75",2.96123916570516
"sigma2_q95",6.30650379036403
"sigma2_max",21.8643654594551
"ell_mean",10
"ell_sd",2.89291730812126
"ell_min",4.09748824132387
"ell_q05",6.11812120363578
"ell_q25",7.95905347408286
"ell_median",9.57568332452788
"ell_q75",11.5333004291559
"ell_q95",15.3440863744155
"ell_max",33.314471108277
"h_mean",1e-04
"h_sd",2.89291730812126e-05
"h_min",4.09748824132387e-05
"h_q05",6.11812120363578e-05
"h_q25",7.95905347408286e-05
"h_median",9.57568332452788e-05
"h_q75",0.000115333004291559
"h_q95",0.000153440863744155
"h_max",0.00033314471108277
"Z1_mean",-0.00494115983767516
"Z1_var",1.00176969736575
"cor_sigma2_Z1",0.00312611778386255
"Z2_mean",-0.00559404391960487
"Z2_var",0.992217511365158
"cor_sigma2_Z2",-0.0036480531666244
"Z3_mean",0.00402942008112848
"Z3_var",0.996133255980967
"cor_sigma2_Z3",0.00153461784795986
"Z4_mean",0.00138999999999942
"Z4_var",0.250000567905738
"cor_sigma2_Z4",-0.00392103610755231
"Z5_mean",0.000489999999993075
"Z5_var",0.250002259923037
"cor_sigma2_Z5",0.00611219667513038
"Z6_mean",0.000650000000000001
"Z6_var",0.250002077520392
"cor_sigma2_Z6",-0.00264105203346677
"Z7_mean",0.000461335860870627
"Z7_var",0.332268065194736
"cor_sigma2_Z7",0.000322209068584997
"Z8_mean",0.00202775817094851
"Z8_var",0.334182338140862
"cor_sigma2_Z8",0.000349186061723625
"Z9_mean",0.000388917277851452
"Z9_var",0.334006936112031
"cor_sigma2_Z9",-0.00258095722576368
