"misspec_setting","n0","contrast","mean_diff","mcse_diff","lower","upper","mean_sigma_cor","mean_score_cor"
"correct_scale",50,"plugin - oracle",-0.000470155987258396,0.000488640695007097,-0.00142789174947231,0.000487579774955513,0.992449816093476,0.980468113817309
"correct_scale",50,"homo - plugin",0.00286057692846748,0.000550703270750678,0.00178119851779615,0.00393995533913881,0.992449816093476,0.980468113817309
"mild_omitted",50,"plugin - oracle",0.00240001526402132,0.000546786234454883,0.00132831424448975,0.00347171628355289,0.562419485459144,0.665809100276777
"mild_omitted",50,"homo - plugin",-9.59432281223739e-06,0.000595370764517567,-0.00117652102126667,0.00115733237564219,0.562419485459144,0.665809100276777
"severe_omitted",50,"plugin - oracle",0.00289842621418719,0.000557279055483688,0.00180615926543916,0.00399069316293522,0.26666667210277,0.495048686184917
"severe_omitted",50,"homo - plugin",-0.00050800527297811,0.000592529132263893,-0.00166936237221534,0.000653351826259122,0.26666667210277,0.495048686184917
"correct_scale",100,"plugin - oracle",-0.0010107612816387,0.000503714424926156,-0.00199804155449397,-2.34810087834389e-05,0.9984740315083,0.995871310271546
"correct_scale",100,"homo - plugin",0.00401216886741242,0.000568645970297059,0.00289762276563019,0.00512671496919466,0.9984740315083,0.995871310271546
"mild_omitted",100,"plugin - oracle",0.00227956235297953,0.000563756453407739,0.00117459970430036,0.0033845250016587,0.652696177365285,0.706495087214024
"mild_omitted",100,"homo - plugin",0.00072184523279419,0.000614881291177388,-0.00048332209791349,0.00192701256350187,0.652696177365285,0.706495087214024
"severe_omitted",100,"plugin - oracle",0.00284491857063316,0.000560132274199914,0.00174705931320133,0.00394277782806499,0.389999735892023,0.560013874131394
"severe_omitted",100,"homo - plugin",0.000156489015140554,0.000599622200863874,-0.00101877049855264,0.00133174852883375,0.389999735892023,0.560013874131394
"correct_scale",200,"plugin - oracle",0.000219823383142188,0.000503643800225153,-0.000767318465299112,0.00120696523158349,0.999336681295428,0.998597245924031
"correct_scale",200,"homo - plugin",0.00378504842453139,0.000551718658159185,0.00270367985453939,0.0048664169945234,0.999336681295428,0.998597245924031
"mild_omitted",200,"plugin - oracle",0.00179801802061004,0.000508874133779747,0.00080062471840174,0.00279541132281835,0.669938549131627,0.715090790267631
"mild_omitted",200,"homo - plugin",0.00220685378706354,0.000591148292858776,0.00104820313306034,0.00336550444106674,0.669938549131627,0.715090790267631
"severe_omitted",200,"plugin - oracle",0.00265140421004312,0.000573386598347801,0.00152756647728143,0.00377524194280481,0.441074692950815,0.581252630989323
"severe_omitted",200,"homo - plugin",0.00135346759763046,0.000623149945351004,0.000132093704742496,0.00257484149051843,0.441074692950815,0.581252630989323
"correct_scale",300,"plugin - oracle",0.000384761060493049,0.000477143810723948,-0.000550440808525888,0.00131996292951199,0.999573730617956,0.999217207652703
"correct_scale",300,"homo - plugin",0.00381879127842384,0.000557877880387032,0.00272535063286526,0.00491223192398242,0.999573730617956,0.999217207652703
"mild_omitted",300,"plugin - oracle",0.00193610335450862,0.000540384762142549,0.000876949220709224,0.00299525748830802,0.670450520451161,0.716676344595181
"mild_omitted",300,"homo - plugin",0.00226744898440827,0.000601204230984873,0.00108908869167792,0.00344580927713862,0.670450520451161,0.716676344595181
"severe_omitted",300,"plugin - oracle",0.00296798962343222,0.000526064494687734,0.00193690321384426,0.00399907603302018,0.457516605614836,0.587144606130271
"severe_omitted",300,"homo - plugin",0.00123556271548467,0.000594088783797653,7.11486992412724e-05,0.00239997673172807,0.457516605614836,0.587144606130271
"correct_scale",400,"plugin - oracle",-0.000506103603245356,0.000494269003647318,-0.0014748708503941,0.000462663643903386,0.999708767994407,0.999497578007633
"correct_scale",400,"homo - plugin",0.0036447745946747,0.000568839598127494,0.00252984898234481,0.00475970020700459,0.999708767994407,0.999497578007633
"mild_omitted",400,"plugin - oracle",0.00187223433124892,0.000506537736337753,0.000879420368026925,0.00286504829447092,0.670845908547976,0.717227493774207
"mild_omitted",400,"homo - plugin",0.00126643666018043,0.000595990081538492,9.82961003649831e-05,0.00243457721999587,0.670845908547976,0.717227493774207
"severe_omitted",400,"plugin - oracle",0.00230683750040716,0.000515795165645745,0.0012958789757415,0.00331779602507281,0.461575036009443,0.589295621803688
"severe_omitted",400,"homo - plugin",0.000831833491022192,0.000607145477840212,-0.000358171645544622,0.00202183862758901,0.461575036009443,0.589295621803688
"correct_scale",500,"plugin - oracle",-0.000316517187066007,0.000478391183055542,-0.00125416390585487,0.000621129531722855,0.999756401766158,0.999586892206923
"correct_scale",500,"homo - plugin",0.00399756993690962,0.00058216935038252,0.00285651801015988,0.00513862186365936,0.999756401766158,0.999586892206923
"mild_omitted",500,"plugin - oracle",0.00205460827552056,0.000488246583948756,0.00109764497098099,0.00301157158006012,0.670985941333164,0.71749513391602
"mild_omitted",500,"homo - plugin",0.00162644447432306,0.000627048325601168,0.000397429756144769,0.00285545919250135,0.670985941333164,0.71749513391602
"severe_omitted",500,"plugin - oracle",0.0026129426548275,0.000523468108313071,0.00158694516253388,0.00363894014712112,0.461661630399934,0.589951348799888
"severe_omitted",500,"homo - plugin",0.00106811009501611,0.000635798369999636,-0.000178054710183177,0.0023142749002154,0.461661630399934,0.589951348799888
