"method","misspec_setting","n0","mean_excess_risk","mcse_excess_risk","mean_param_mse","mean_sigma_cor","mean_score_cor"
"FULL","baseline",50,0.000777389135345694,0,0.000249805440914958,NA,NA
"SRS","baseline",50,0.0217381831275655,0.000454272279525016,0.00523764148358209,NA,NA
"LEV-IPW","baseline",50,0.0201218849891056,0.000436632199107332,0.00503427402152907,NA,NA
"OPT-homo","baseline",50,0.0195046665775896,0.000429158948564504,0.0048232228736714,NA,NA
"OPT-hetero-oracle","baseline",50,0.0171142456363805,0.000332818408467852,0.0043240744921356,NA,NA
"plugin-correct","correct_scale",50,0.0166440896491221,0.000345860609735065,0.00426104987321717,0.992449816093476,0.980468113817309
"plugin-mild","mild_omitted",50,0.0195142609004018,0.000432572066510643,0.00487711999178282,0.562419485459144,0.665809100276777
"plugin-severe","severe_omitted",50,0.0200126718505677,0.000424287460589292,0.00508037629321449,0.26666667210277,0.495048686184917
"FULL","baseline",100,0.000777389135345694,0,0.000249805440914958,NA,NA
"SRS","baseline",100,0.0218380878449911,0.000471741155285591,0.00533283549076181,NA,NA
"LEV-IPW","baseline",100,0.0201874666900922,0.000447284502665738,0.00504861401995512,NA,NA
"OPT-homo","baseline",100,0.0200512127445835,0.000429847068262841,0.00491332799247593,NA,NA
"OPT-hetero-oracle","baseline",100,0.0170498051588098,0.00035356348268985,0.00434741644703298,NA,NA
"plugin-correct","correct_scale",100,0.0160390438771711,0.000363156216695879,0.00400885222129155,0.9984740315083,0.995871310271546
"plugin-mild","mild_omitted",100,0.0193293675117893,0.000421869222482581,0.00494354817583227,0.652696177365285,0.706495087214024
"plugin-severe","severe_omitted",100,0.0198947237294429,0.000419278520850997,0.00504984370582997,0.389999735892023,0.560013874131394
"FULL","baseline",200,0.000777389135345694,0,0.000249805440914958,NA,NA
"SRS","baseline",200,0.0223326678846489,0.000487793273078485,0.0056466383448781,NA,NA
"LEV-IPW","baseline",200,0.020382408801958,0.000450488794257344,0.00514948016211629,NA,NA
"OPT-homo","baseline",200,0.0211059060307284,0.000435791744433497,0.00525932920031772,NA,NA
"OPT-hetero-oracle","baseline",200,0.0171010342230548,0.000363260134066416,0.00432075048124513,NA,NA
"plugin-correct","correct_scale",200,0.017320857606197,0.000358794539168872,0.00444701459510457,0.999336681295428,0.998597245924031
"plugin-mild","mild_omitted",200,0.0188990522436649,0.000386274941984522,0.00475402217795397,0.669938549131627,0.715090790267631
"plugin-severe","severe_omitted",200,0.0197524384330979,0.00043043070649373,0.00498852302233954,0.441074692950815,0.581252630989323
"FULL","baseline",300,0.000777389135345694,0,0.000249805440914958,NA,NA
"SRS","baseline",300,0.0218455334617219,0.000460456849251172,0.00540716842915547,NA,NA
"LEV-IPW","baseline",300,0.0206908863678224,0.00045259789711448,0.00522257049675541,NA,NA
"OPT-homo","baseline",300,0.0206470925190626,0.000427100793285537,0.00512458036350635,NA,NA
"OPT-hetero-oracle","baseline",300,0.0164435401801457,0.000329807303693005,0.00424863184978134,NA,NA
"plugin-correct","correct_scale",300,0.0168283012406388,0.000351754266368647,0.00424795899859304,0.999573730617956,0.999217207652703
"plugin-mild","mild_omitted",300,0.0183796435346543,0.000428968752036899,0.00468335805606577,0.670450520451161,0.716676344595181
"plugin-severe","severe_omitted",300,0.0194115298035779,0.00041383865469379,0.00490809965970321,0.457516605614836,0.587144606130271
"FULL","baseline",400,0.000777389135345694,0,0.000249805440914958,NA,NA
"SRS","baseline",400,0.0204522458900483,0.000423296764615,0.0049651584315495,NA,NA
"LEV-IPW","baseline",400,0.0196232345598958,0.000419781413013344,0.00492067434421664,NA,NA
"OPT-homo","baseline",400,0.0203037574140372,0.000455241479977032,0.00508829221172768,NA,NA
"OPT-hetero-oracle","baseline",400,0.0171650864226079,0.000338086569295798,0.00449467957979486,NA,NA
"plugin-correct","correct_scale",400,0.0166589828193625,0.000347290333316277,0.00423318229456432,0.999708767994407,0.999497578007633
"plugin-mild","mild_omitted",400,0.0190373207538568,0.000388143107743263,0.00486404694951019,0.670845908547976,0.717227493774207
"plugin-severe","severe_omitted",400,0.019471923923015,0.000412682147388573,0.00494489063020341,0.461575036009443,0.589295621803688
"FULL","baseline",500,0.000777389135345694,0,0.000249805440914958,NA,NA
"SRS","baseline",500,0.0214570560334789,0.000468023030743903,0.00518421889873307,NA,NA
"LEV-IPW","baseline",500,0.020164962026112,0.000426072015484137,0.00511596360781365,NA,NA
"OPT-homo","baseline",500,0.020470293481805,0.000467510523559349,0.00510941999221033,NA,NA
"OPT-hetero-oracle","baseline",500,0.0167892407319614,0.00032612026623066,0.00433359262824204,NA,NA
"plugin-correct","correct_scale",500,0.0164727235448954,0.000348611838983675,0.0042116987446692,0.999756401766158,0.999586892206923
"plugin-mild","mild_omitted",500,0.018843849007482,0.00037442357934326,0.00491572318334238,0.670985941333164,0.71749513391602
"plugin-severe","severe_omitted",500,0.0194021833867889,0.000410490734714862,0.00482968098072245,0.461661630399934,0.589951348799888
