"misspec_setting","n0","contrast","mean_diff","mcse_diff","lower","upper","mean_sigma_cor","mean_score_cor"
"correct_scale",50,"plugin - oracle",-4.01527458803491,5.71650928073759,-15.2196327782806,7.18908360221076,0.992449816093476,0.980468113817309
"correct_scale",50,"homo - plugin",26.6530313080173,6.23383059465859,14.4347233424865,38.8713392735482,0.992449816093476,0.980468113817309
"mild_omitted",50,"plugin - oracle",25.0387332766043,5.92228081195993,13.4310628851628,36.6464036680458,0.562419485459144,0.665809100276777
"mild_omitted",50,"homo - plugin",-2.40097655662188,6.48040807656602,-15.1025763866913,10.3006232734475,0.562419485459144,0.665809100276777
"severe_omitted",50,"plugin - oracle",27.627558555067,6.18842755762673,15.4982405421186,39.7568765680154,0.26666667210277,0.495048686184917
"severe_omitted",50,"homo - plugin",-4.98980183508461,6.6477822891938,-18.0194551219045,8.03985145173524,0.26666667210277,0.495048686184917
"correct_scale",50,"plugin - oracle",42.7509904162622,6.19859691421982,30.6017404643914,54.9002403681331,0.307289084028874,0.468480111970541
"correct_scale",50,"homo - plugin",-20.1132336962798,6.55217939611784,-32.9555053126708,-7.27096207988885,0.307289084028874,0.468480111970541
"mild_omitted",50,"plugin - oracle",41.1156657847262,6.40164357868029,28.5684443705129,53.6628871989396,0.192459834505053,0.382417500800293
"mild_omitted",50,"homo - plugin",-18.4779090647438,6.68477166462698,-31.5800615274127,-5.37575660207495,0.192459834505053,0.382417500800293
"severe_omitted",50,"plugin - oracle",59.4172860343817,6.84873059794311,45.9937740624132,72.8407980063502,0.0874607998481445,0.255556151355998
"severe_omitted",50,"homo - plugin",-36.7795293143993,6.97725277825268,-50.4549447597746,-23.1041138690241,0.0874607998481445,0.255556151355998
"correct_scale",100,"plugin - oracle",-9.36803091828603,5.54334781085353,-20.232992627559,1.4969307909869,0.9984740315083,0.995871310271546
"correct_scale",100,"homo - plugin",36.7386514002015,6.26486405823962,24.4595178460518,49.0177849543511,0.9984740315083,0.995871310271546
"mild_omitted",100,"plugin - oracle",21.3000814116804,6.23716493314258,9.07523814272089,33.5249246806398,0.652696177365285,0.706495087214024
"mild_omitted",100,"homo - plugin",6.07053907023508,6.69891570837998,-7.05933571818968,19.2004138586598,0.652696177365285,0.706495087214024
"severe_omitted",100,"plugin - oracle",23.703003243556,6.24463241299147,11.4635237140927,35.9424827730193,0.389999735892023,0.560013874131394
"severe_omitted",100,"homo - plugin",3.66761723835944,6.45928568815802,-8.99258271043027,16.3278171871492,0.389999735892023,0.560013874131394
"correct_scale",100,"plugin - oracle",23.3704607124546,6.39391297060803,10.8383912900629,35.9025301348464,0.439533008582874,0.569406599431945
"correct_scale",100,"homo - plugin",4.00015976946082,6.73983350272398,-9.20991389587819,17.2102334347998,0.439533008582874,0.569406599431945
"mild_omitted",100,"plugin - oracle",21.6436694143288,6.06137584463589,9.76337275884245,33.5239660698151,0.271931066194127,0.450260720108416
