"method","misspec_setting","n0","mean_pred_mse_N","mcse_pred_mse_N","mean_param_mse_N","mean_sigma_cor","mean_score_cor"
"FULL","baseline",50,7.29642310872247,0,2.49805440914958,NA,NA
"SRS","baseline",50,219.488728211344,5.05258244161522,52.3764148358209,NA,NA
"LEV-IPW","baseline",50,200.988517428013,4.93102201948827,50.3427402152907,NA,NA
"OPT-homo","baseline",50,191.470808396681,4.59512625585519,48.232228736714,NA,NA
"OPT-hetero-oracle","baseline",50,168.833051676699,3.79936243628413,43.240744921356,NA,NA
"param-correct","correct_scale",50,164.817777088664,4.01931221611633,42.6104987321717,0.992449816093476,0.980468113817309
"param-mild","mild_omitted",50,193.871784953303,4.68786273718347,48.7711999178282,0.562419485459144,0.665809100276777
"param-severe","severe_omitted",50,196.460610231766,4.69861723883061,50.8037629321449,0.26666667210277,0.495048686184917
"rf-full","correct_scale",50,211.584042092961,4.684231699665,52.4796770422326,0.307289084028874,0.468480111970541
"rf-mild","mild_omitted",50,209.948717461425,5.1150606948875,52.6519182218218,0.192459834505053,0.382417500800293
"rf-severe","severe_omitted",50,228.250337711081,5.58289551380537,58.526452186182,0.0874607998481445,0.255556151355998
"FULL","baseline",100,7.29642310872247,0,2.49805440914958,NA,NA
"SRS","baseline",100,223.207045936777,5.44799360437982,53.3283549076181,NA,NA
"LEV-IPW","baseline",100,205.243392207162,5.02462546919622,50.4861401995512,NA,NA
"OPT-homo","baseline",100,198.955504776518,4.70133235253815,49.1332799247593,NA,NA
"OPT-hetero-oracle","baseline",100,171.584884294602,4.02941844594044,43.4741644703298,NA,NA
"param-correct","correct_scale",100,162.216853376316,3.96662183323784,40.0885222129155,0.9984740315083,0.995871310271546
"param-mild","mild_omitted",100,192.884965706283,4.56482952401163,49.4354817583227,0.652696177365285,0.706495087214024
"param-severe","severe_omitted",100,195.287887538158,4.60689112598276,50.4984370582997,0.389999735892023,0.560013874131394
"rf-full","correct_scale",100,194.955345007057,4.82208970233489,48.6847522406686,0.439533008582874,0.569406599431945
"rf-mild","mild_omitted",100,193.228553708931,4.68991185975704,48.7440359156405,0.271931066194127,0.450260720108416
"rf-severe","severe_omitted",100,231.833222359669,5.84714765528046,58.7588967299271,0.123738776236319,0.286994256719468
"FULL","baseline",200,7.29642310872247,0,2.49805440914958,NA,NA
"SRS","baseline",200,222.573631597977,5.42287569016457,56.466383448781,NA,NA
"LEV-IPW","baseline",200,206.780473365485,4.79061379361051,51.4948016211629,NA,NA
"OPT-homo","baseline",200,210.417725573073,4.77870795719251,52.5932920031772,NA,NA
"OPT-hetero-oracle","baseline",200,170.399286068922,3.93991316814525,43.2075048124513,NA,NA
"param-correct","correct_scale",200,172.807471966825,4.0032195387677,44.4701459510458,0.999336681295428,0.998597245924031
"param-mild","mild_omitted",200,190.227973291606,4.28504247763386,47.5402217795397,0.669938549131627,0.715090790267631
"param-severe","severe_omitted",200,194.502810416799,4.77054959817549,49.8852302233954,0.441074692950815,0.581252630989323
"rf-full","correct_scale",200,184.998239630426,4.27579028917019,46.7500961343487,0.559027748094907,0.663315726790014
"rf-mild","mild_omitted",200,197.144500022597,4.62386822834498,49.1579462668144,0.342381330691854,0.511607336867791
"rf-severe","severe_omitted",200,225.81881312206,5.31139566401862,57.3474956942467,0.152171260614971,0.31472933812093
"FULL","baseline",300,7.29642310872247,0,2.49805440914958,NA,NA
"SRS","baseline",300,222.55364398619,5.15890363007565,54.0716842915547,NA,NA
"LEV-IPW","baseline",300,204.515961067083,4.751036192108,52.2257049675541,NA,NA
"OPT-homo","baseline",300,204.197235788781,4.57290735527635,51.2458036350635,NA,NA
"OPT-hetero-oracle","baseline",300,163.658015568226,3.67488499822735,42.4863184978134,NA,NA
"param-correct","correct_scale",300,169.535497371441,3.96919982220553,42.4795899859304,0.999573730617956,0.999217207652703
"param-mild","mild_omitted",300,179.360359371986,4.58754837877335,46.8335805606577,0.670450520451161,0.716676344595181
"param-severe","severe_omitted",300,192.042524522874,4.62394343100739,49.0809965970321,0.457516605614836,0.587144606130271
"rf-full","correct_scale",300,191.032359031689,4.70275654839472,47.8841152285491,0.607984136632907,0.703444868479415
"rf-mild","mild_omitted",300,190.141063026166,4.51411501103533,47.6556722537776,0.376441469180225,0.540684333036157
"rf-severe","severe_omitted",300,222.328221206564,5.11265123232488,56.1051550142174,0.168725693339501,0.329404766304592
"FULL","baseline",400,7.29642310872247,0,2.49805440914958,NA,NA
"SRS","baseline",400,204.567762503778,4.85102459574741,49.651584315495,NA,NA
"LEV-IPW","baseline",400,193.830471825008,4.35256104944373,49.2067434421664,NA,NA
"OPT-homo","baseline",400,200.727289983857,4.96343197257328,50.8829221172768,NA,NA
"OPT-hetero-oracle","baseline",400,172.625974542442,3.80631287059557,44.9467957979486,NA,NA
"param-correct","correct_scale",400,167.447593258443,4.02488712572747,42.3318229456432,0.999708767994407,0.999497578007633
"param-mild","mild_omitted",400,188.112286745741,4.42104983388822,48.6404694951019,0.670845908547976,0.717227493774207
"param-severe","severe_omitted",400,195.570697618069,4.4786187503822,49.4489063020341,0.461575036009443,0.589295621803688
